Date,Day,Cases_Guinea,Cases_Liberia,Cases_Nigeria,Cases_Senegal,Cases_UnitedKingdom,Cases_Mali,Deaths_Guinea,Deaths_Liberia,Deaths_Nigeria,Deaths_Senegal,Deaths_UnitedKingdom,Deaths_Mali
7/22/2014,122,2770,,,,,,1786,,,,,
7/21/2014,121,2771,,,,,,1781,,,,,
7/20/2014,120,2765,8165,,,,,1767,3496,,,,
7/19/2014,119,,8156,,,,,,3496,,,,
7/18/2014,118,2730,8115,,,,,1739,3471,,,,
7/17/2014,117,2706,8018,,,,,1708,3423,,,,
7/16/2014,116,2695,,,,,,1697,,,,,
7/15/2014,115,2630,7977,,,,,,3413,,,,
7/14/2014,114,2597,,,,,,1607,,,,,
7/13/2014,113,2571,7862,,,,,1586,3384,,,,
7/12/2014,112,,7830,,,,,,3376,,,,
7/11/2014,111,2416,,,,,,1525,,,,,
7/10/2014,110,,7797,,,,,,3290,,,,
7/9/2014,109,2292,,20,1,4,7,1428,,8,0,1,6
7/8/2014,108,,7719,,,,,,3177,,,,
7/7/2014,107,2164,,20,1,4,7,1327,,8,0,1,6
7/6/2014,106,,7635,,,,,,3145,,,,
7/5/2014,105,2134,,20,1,4,7,1260,,8,0,1,6
7/4/2014,104,,7168,,,,,,3016,,,,
7/3/2014,103,2047,7082,20,1,4,6,1214,2963,8,0,1,6
7/2/2014,102,1971,,20,1,4,5,1192,,8,0,1,5
7/1/2014,101,,7069,,,,,,2964,,,,
6/30/2014,100,1919,,20,1,4,4,1166,,8,0,1,3
6/29/2014,99,,6878,,,,,,2812,,,,
6/28/2014,98,1878,,20,1,4,1,1142,,8,0,1,1
6/27/2014,97,,6822,,,,,,2836,,,,
6/26/2014,96,,6619,20,1,4,1,,2766,8,0,1,1
6/25/2014,95,1770,,,,,,1054,,,,,
6/24/2014,94,1731,,20,1,4,1,1041,,8,0,1,1
6/23/2014,93,,6525,,,,,,2697,,,,
6/22/2014,92,1667,,20,1,4,1,1018,,8,0,1,1
6/21/2014,91,1906,,20,1,4,1,997,,8,0,1,1
6/20/2014,90,,6535,,,,,,2413,,,,
6/19/2014,89,,,,,4,1,,,,,1,1
6/18/2014,88,1553,,,,,,926,,,,,
6/17/2014,87,1540,,20,1,3,,904,,8,0,1,
6/16/2014,86,,4665,,,,,,2705,,,,
6/15/2014,85,1519,,20,1,3,,862,,8,0,0,
6/14/2014,84,,4262,,,,,,2484,,,,
6/13/2014,83,1472,,20,1,2,,843,,8,0,1,
6/12/2014,82,,4249,,,,,,2458,,,,
6/11/2014,81,,,20,1,1,,,,8,0,1,
6/10/2014,80,1350,4076,,,,,778,2316,,,,
6/9/2014,79,1298,,20,1,1,,768,,8,0,0,
6/8/2014,78,,3924,,,,,,2210,,,,
6/7/2014,77,1199,3834,20,1,1,,739,2069,8,0,0,
6/6/2014,76,1157,3696,20,1,,,710,1998,8,0,,
6/5/2014,75,1074,3458,20,1,,,648,1830,8,0,,
6/4/2014,74,1022,3280,20,1,,,635,1677,8,0,,
6/3/2014,73,,,,,,,,,,,,
6/2/2014,72,1008,,,,,,632,,,,,
6/1/2014,71,,3022,,,,,,1578,,,,
5/31/2014,70,942,2710,,,,,601,1459,,,,
5/30/2014,69,936,,21,1,,,595,1296,8,0,,
5/29/2014,68,899,,21,1,,,568,,8,,,
5/28/2014,67,,2407,,,,,,,,,,
5/27/2014,66,861,2081,21,3,,,557,1137,8,0,,
5/26/2014,65,812,1871,22,1,,,517,1089,8,,,
5/25/2014,64,771,1698,21,1,,,494,871,7,,,
5/24/2014,63,648,1378,17,,,,430,694,6,,,
5/23/2014,62,607,1082,16,,,,406,624,5,,,
5/22/2014,61,579,972,15,,,,396,576,4,,,
5/21/2014,60,543,834,15,,,,394,466,4,,,
5/20/2014,59,519,786,12,,,,380,413,4,,,
5/19/2014,58,510,670,12,,,,377,355,3,,,
5/18/2014,57,506,599,13,,,,373,323,2,,,
5/17/2014,56,495,554,13,,,,367,294,2,,,
5/16/2014,55,495,516,9,,,,363,282,1,,,
5/15/2014,54,485,468,4,,,,358,255,1,,,
5/14/2014,53,472,391,3,,,,346,227,1,,,
5/13/2014,52,460,329,1,,,,339,156,1,,,
5/12/2014,51,427,249,0,,,,319,129,0,,,
5/11/2014,50,415,224,,,,,314,127,,,,
5/10/2014,49,410,196,,,,,310,116,,,,
5/9/2014,48,411,174,,,,,310,106,,,,
5/8/2014,47,406,172,,,,,304,105,,,,
5/7/2014,46,409,142,,,,,309,88,,,,
5/6/2014,45,408,131,,,,,307,84,,,,
5/5/2014,44,412,115,,,,,305,75,,,,
5/4/2014,43,413,107,,,,,303,65,,,,
5/3/2014,42,,51,,,,,,34,,,,
5/2/2014,41,390,,,,,,270,,,,,
5/1/2014,40,,41,,,,,,25,,,,
4/30/2014,39,390,,,,,,267,,,,,
4/29/2014,38,,,,,,,,,,,,
4/28/2014,37,398,33,,,,,264,24,,,,
4/27/2014,36,351,13,,,,,226,24,,,,
4/26/2014,35,,13,,,,,,,,,,
4/25/2014,34,344,13,,,,,215,12,,,,
4/24/2014,33,328,13,,,,,208,12,,,,
4/23/2014,32,291,13,,,,,193,12,,,,
4/22/2014,31,281,12,,,,,186,11,,,,
4/21/2014,30,258,12,,,,,174,11,,,,
4/20/2014,29,248,12,,,,,171,11,,,,
4/19/2014,28,233,12,,,,,157,11,,,,
4/18/2014,27,236,13,,,,,158,11,,,,
4/17/2014,26,235,13,,,,,157,11,,,,
4/16/2014,25,231,13,,,,,155,11,,,,
4/15/2014,24,226,13,,,,,149,11,,,,
4/14/2014,23,224,,,,,,143,,,,,
4/13/2014,22,,35,,,,,,,,,,
4/12/2014,21,218,,,,,,141,,,,,
4/11/2014,20,,,,,,,,,,,,
4/10/2014,19,,34,,,,,,11,,,,
4/9/2014,18,208,,,,,,136,6,,,,
4/8/2014,17,203,27,,,,,129,,,,,
4/7/2014,16,197,27,,,,,122,13,,,,
4/6/2014,15,,,,,,,,,,,,
4/5/2014,14,168,,,,,,108,,,,,
4/4/2014,13,159,26,,,,,106,13,,,,
4/3/2014,12,158,25,,,,,101,12,,,,
4/2/2014,11,151,21,,,,,95,10,,,,
4/1/2014,10,143,18,,,,,86,7,,,,
3/31/2014,9,127,8,,,,,83,5,,,,
3/30/2014,8,122,8,,,,,80,4,,,,
3/29/2014,7,112,7,,,,,70,2,,,,
3/28/2014,6,112,3,,,,,70,3,,,,
3/27/2014,5,103,8,,,,,66,6,,,,
3/26/2014,4,86,,,,,,62,,,,,
3/25/2014,3,86,,,,,,60,,,,,
3/24/2014,2,86,,,,,,59,,,,,
3/23/2014,1,49,,,,,,29,,,,,